category,template,description,preview_path
"Receipts","Cash Receipt","Confirm a cash payment with amount and payer details.","handoff/template-previews/receipts/Cash Receipt.png"
"Receipts","Donation Receipt","Confirm a donation for donor and tax records.","handoff/template-previews/receipts/Donation Receipt.png"
"Receipts","General Receipt","Record any payment with payer, amount, and date details.","handoff/template-previews/receipts/General Receipt.png"
"Receipts","Pay Stub Paystub","Summarize employee earnings, deductions, and net pay.","handoff/template-previews/receipts/Pay Stub Paystub.png"
"Receipts","Payment Receipt","Confirm a completed payment with transaction details.","handoff/template-previews/receipts/Payment Receipt.png"
"Receipts","Receipt Book","Keep organized records of recurring payments.","handoff/template-previews/receipts/Receipt Book.png"
"Receipts","Rent Receipt","Confirm rent payments for landlords and tenants.","handoff/template-previews/receipts/Rent Receipt.png"
"Receipts","Sales Receipt","Record items sold, prices, taxes, and total paid.","handoff/template-previews/receipts/Sales Receipt.png"
"Estimates","Construction Estimate Template","Estimate construction labor, materials, and project costs.","handoff/template-previews/estimates/Construction Estimate Template.png"
"Estimates","Contractor Estimate Template","Quote contractor labor, materials, and project costs.","handoff/template-previews/estimates/Contractor Estimate Template.png"
"Estimates","Estimate Template","Share projected costs before work or services begin.","handoff/template-previews/estimates/Estimate Template.png"
"Estimates","Job Estimate Template","Break down job tasks, materials, labor, and pricing.","handoff/template-previews/estimates/Job Estimate Template.png"
"Estimates","Painting Estimate Template","Estimate paint, supplies, labor, and project pricing.","handoff/template-previews/estimates/Painting Estimate Template.png"
"Estimates","Roofing Estimate Template","Estimate roofing materials, labor, and total costs.","handoff/template-previews/estimates/Roofing Estimate Template.png"
"Business Agreements","Consulting Agreement Template","Set consulting scope, fees, and deliverables.","handoff/template-previews/business-agreements/Consulting Agreement Template.png"
"Business Agreements","Independent Contractor Agreement","Define independent work, payment, and ownership.","handoff/template-previews/business-agreements/Independent Contractor Agreement.png"
"Business Agreements","Loan Agreement Template","Record loan amount, interest, and repayment terms.","handoff/template-previews/business-agreements/Loan Agreement Template.png"
"Business Agreements","Non-Disclosure Agreement Template","Protect confidential information shared between parties.","handoff/template-previews/business-agreements/Non-Disclosure Agreement Template.png"
"Business Agreements","Operating Agreement Template","Set ownership and operating rules for an LLC.","handoff/template-previews/business-agreements/Operating Agreement Template.png"
"Business Agreements","Partnership Agreement Template","Define partner roles, ownership, and profit sharing.","handoff/template-previews/business-agreements/Partnership Agreement Template.png"
"Business Agreements","Promissory Note Template","Promise repayment with amount, dates, and interest.","handoff/template-previews/business-agreements/Promissory Note Template.png"
"Business Agreements","Purchase Agreement Template","Document a purchase, price, terms, and delivery.","handoff/template-previews/business-agreements/Purchase Agreement Template.png"
"Business Agreements","Service Agreement Template","Define services, fees, deadlines, and responsibilities.","handoff/template-previews/business-agreements/Service Agreement Template.png"
"Business Agreements","Settlement Agreement Template","Resolve a dispute with agreed payment and terms.","handoff/template-previews/business-agreements/Settlement Agreement Template.png"
"Business Agreements","Subcontractor Agreement Template","Set subcontracted work, payment, and deadlines.","handoff/template-previews/business-agreements/Subcontractor Agreement Template.png"
"Financial Statements","Balance Sheet","Summarize assets, liabilities, and equity.","handoff/template-previews/financial-statements/Balance Sheet.png"
"Financial Statements","Profit & Loss (P&L) Statement","Track revenue, expenses, and profit over time.","handoff/template-previews/financial-statements/Profit & Loss (P&L) Statement.png"
"Business Letters","Business Letter Template","Write a clear formal message for business needs.","handoff/template-previews/business-letters/Business Letter Template.png"
"Business Letters","Cease and Desist Letter Template","Demand that harmful or unauthorized activity stop.","handoff/template-previews/business-letters/Cease and Desist Letter Template.png"
"Business Letters","Demand Letter Template","Request payment or action by a clear deadline.","handoff/template-previews/business-letters/Demand Letter Template.png"
"Business Letters","Offer Letter Template","Present a job offer, compensation, and terms.","handoff/template-previews/business-letters/Offer Letter Template.png"
"Business Letters","Termination Letter Template","Confirm employment ending, date, and next steps.","handoff/template-previews/business-letters/Termination Letter Template.png"
"Contracts","Business Contract","Set terms for a commercial relationship or deal.","handoff/template-previews/contracts/Business Contract.png"
"Contracts","Catering Contract","Define menu, event services, fees, and cancellation.","handoff/template-previews/contracts/Catering Contract.png"
"Contracts","Cleaning Contract","Outline cleaning scope, schedule, and payment.","handoff/template-previews/contracts/Cleaning Contract.png"
"Contracts","Construction Contract","Set project scope, costs, timeline, and duties.","handoff/template-previews/contracts/Construction Contract.png"
"Contracts","Consulting Contract","Agree on consulting work, fees, and deliverables.","handoff/template-previews/contracts/Consulting Contract.png"
"Contracts","Contractor Contract","Define contractor work, payment, and obligations.","handoff/template-previews/contracts/Contractor Contract.png"
